date,day_of_week,income,platform,hours_worked,orders_completed,volatility_label,volatility_label_stat,rolling_mean_7,rolling_std_7,rolling_cv_7
2024-02-19,Monday,1045.61,swiggy,6.3,11,low,high,507.2471428571429,551.4615829688186,1.087165478868213
2024-02-20,Tuesday,852.9,swiggy,5.36,12,low,high,629.09,513.6334175589947,0.8164704852389875
2024-02-21,Wednesday,1250.77,swiggy,3.99,10,low,medium,807.7714285714285,474.36943227926474,0.5872570079857905
2024-02-22,Thursday,0.0,swiggy,0.0,0,high,high,782.3500000000001,516.6323733887888,0.6603596515482696
2024-02-23,Friday,1404.32,swiggy,6.99,16,medium,high,823.7171428571429,557.6486786413789,0.6769904978632838
2024-02-24,Saturday,1087.63,swiggy,6.37,13,low,medium,965.5542857142857,458.8561732125199,0.4752256605366036
2024-02-25,Sunday,625.25,swiggy,4.54,13,medium,medium,895.2114285714287,469.277992218847,0.5242091166862303
2024-02-26,Monday,500.86,swiggy,3.0,8,low,medium,817.3900000000001,485.0826561181778,0.5934531326761738
2024-02-27,Tuesday,722.85,swiggy,5.83,15,low,high,798.8114285714286,485.9855635519969,0.6083858419766471
2024-02-28,Wednesday,529.52,swiggy,8.02,18,medium,high,695.7757142857142,449.2639577077573,0.6457022694000943
2024-02-29,Thursday,516.56,swiggy,9.02,20,low,medium,769.57,346.63233971072714,0.4504234049023833
2024-03-01,Friday,1690.41,swiggy,8.81,21,medium,medium,810.4399999999999,438.60956791509506,0.54119930891256
2024-03-02,Saturday,1114.48,swiggy,5.36,13,low,medium,814.2757142857143,441.5452326718496,0.5422551906256651
2024-03-03,Sunday,786.29,swiggy,3.67,9,low,medium,837.2814285714285,434.1890514291581,0.5185700250989353
2024-03-04,Monday,2096.63,swiggy,10.06,23,medium,medium,1065.2485714285715,611.0260651131172,0.5735995161145245
2024-03-05,Tuesday,577.34,swiggy,4.8,13,medium,high,1044.4614285714285,626.8852059568954,0.6001994796632397
2024-03-06,Wednesday,4162.07,swiggy,8.16,20,high,high,1563.3971428571426,1286.2846347486536,0.8227497668301608
2024-03-07,Thursday,2120.48,swiggy,6.51,25,medium,high,1792.5285714285715,1209.2789721348918,0.6746218673497328
2024-03-08,Friday,1153.25,swiggy,7.05,12,low,high,1715.7914285714287,1233.6370725275267,0.7189901126587719
2024-03-09,Saturday,0.0,swiggy,0.0,0,high,high,1556.58,1386.6079354309209,0.8908041574676027
2024-03-10,Sunday,1083.98,swiggy,6.94,15,medium,high,1599.107142857143,1363.4168823427203,0.8526113390417904
2024-03-11,Monday,1210.92,swiggy,4.77,13,low,high,1472.5771428571427,1350.58783180651,0.9171593069725739
2024-03-12,Tuesday,527.32,swiggy,6.94,16,medium,high,1465.4314285714283,1356.2343113738198,0.9254846626948222
2024-03-13,Wednesday,1053.5,swiggy,7.46,16,medium,high,1021.3500000000001,652.3800981278727,0.6387429364349856
2024-03-14,Thursday,2111.92,swiggy,7.67,19,medium,high,1020.127142857143,649.9800580200971,0.6371559296027076
2024-03-15,Friday,0.0,swiggy,0.0,0,high,high,855.377142857143,749.1978165503477,0.875868408229692
2024-03-16,Saturday,798.09,swiggy,7.42,20,medium,high,969.3900000000001,651.7161254462451,0.6722950777769989
2024-03-17,Sunday,1577.0,swiggy,7.83,17,medium,high,1039.8214285714287,691.5849417685088,0.6650997207459469
2024-03-18,Monday,2178.65,swiggy,11.16,28,medium,high,1178.0685714285714,816.8647660910293,0.6933932250653861
2024-03-19,Tuesday,532.64,swiggy,5.96,13,medium,high,1178.8285714285716,816.1605817163793,0.6923488295904716
2024-03-20,Wednesday,222.93,swiggy,11.75,27,high,high,1060.1757142857143,894.0725078138635,0.8433248335784019
2024-03-21,Thursday,820.4,swiggy,11.1,33,medium,high,875.6728571428572,764.7691499120122,0.8733502970587654
2024-03-22,Friday,2035.51,swiggy,7.82,16,medium,high,1166.4600000000003,763.2987864089218,0.6543720199654696
2024-03-23,Saturday,0.0,swiggy,0.0,0,high,high,1052.447142857143,878.4162052185031,0.8346416360956738
2024-03-24,Sunday,1307.6,swiggy,7.85,20,medium,high,1013.9614285714287,857.2503919203642,0.8454467475435877
2024-03-25,Monday,583.29,swiggy,7.97,23,medium,high,786.0528571428571,692.1767114380123,0.8805727313986675
2024-03-26,Tuesday,3233.61,swiggy,6.28,13,high,high,1171.9057142857143,1137.1596559682832,0.9703508073270134
2024-03-27,Wednesday,285.56,swiggy,3.41,13,high,high,1180.8528571428574,1128.6633656928634,0.9558035608464636
2024-03-28,Thursday,887.14,swiggy,8.2,19,medium,high,1190.3871428571426,1125.3881271471676,0.9453967424799584
2024-03-29,Friday,0.0,swiggy,0.0,0,high,high,899.6,1133.5695383316067,1.2600817455887134
2024-03-30,Saturday,4203.23,swiggy,10.41,16,high,high,1500.0614285714287,1596.3861748694412,1.064213867821231
2024-03-31,Sunday,1455.71,swiggy,9.81,31,medium,high,1521.22,1594.3904147353624,1.0480998243090167
2024-04-01,Monday,1652.01,swiggy,10.92,34,low,high,1673.8942857142854,1539.843717404001,0.9199169449024779
2024-04-02,Tuesday,334.81,swiggy,4.63,13,medium,high,1259.7800000000002,1436.820051804215,1.1405325150456544
2024-04-03,Wednesday,2404.71,swiggy,7.15,16,high,high,1562.515714285714,1420.500432662813,0.9091111338436544
2024-04-04,Thursday,1792.18,swiggy,9.99,32,medium,high,1691.8071428571427,1389.6359408938051,0.821391461054463
2024-04-05,Friday,593.37,swiggy,3.7,8,medium,high,1776.5742857142857,1283.2629477216428,0.7223243959121568
2024-04-06,Saturday,1564.88,swiggy,9.32,23,medium,medium,1399.6671428571428,712.0775136344432,0.5087477528270602
2024-04-07,Sunday,0.0,swiggy,0.0,0,high,high,1191.7085714285713,884.6398748912577,0.7423290358907025
2024-04-08,Monday,1460.16,swiggy,3.88,11,medium,high,1164.3014285714287,870.8670921831988,0.7479739102027323
2024-04-09,Tuesday,1402.32,swiggy,11.59,29,low,high,1316.8028571428572,791.2286820448797,0.60087102465866
2024-04-10,Wednesday,517.15,swiggy,7.09,16,medium,high,1047.1514285714286,671.2148753920907,0.6409912235022134
2024-04-11,Thursday,1308.95,swiggy,6.65,14,medium,high,978.1185714285714,603.2258595647402,0.6167205870385538
2024-04-12,Friday,677.6,swiggy,7.89,23,low,high,990.1514285714286,595.0567265515837,0.600975476458303
2024-04-13,Saturday,1272.6,swiggy,10.98,24,medium,medium,948.397142857143,557.0480782575922,0.5873573981670044
2024-04-14,Sunday,6563.28,swiggy,9.89,28,high,high,1886.0085714285713,2095.0521628703236,1.110839152381694
2024-04-15,Monday,686.24,swiggy,3.0,8,medium,high,1775.4485714285713,2141.18325600923,1.2059956511645837
2024-04-16,Tuesday,0.0,swiggy,0.0,0,high,high,1575.1171428571429,2244.996597805249,1.4252886574093122
2024-04-17,Wednesday,965.79,swiggy,7.33,16,medium,high,1639.2085714285713,2215.975686467315,1.3518570638854643
2024-04-18,Thursday,443.07,swiggy,3.99,12,medium,high,1515.5114285714285,2261.1891905988214,1.4920304446204629
2024-04-19,Friday,1995.4,swiggy,9.79,30,medium,high,1703.7685714285712,2234.5011206861413,1.3115050706755103
2024-04-20,Saturday,0.0,swiggy,0.0,0,high,high,1521.9685714285713,2325.3506501918414,1.5278572066762117
2024-04-21,Sunday,1453.22,swiggy,7.43,18,medium,high,791.96,741.962681429015,0.9368688840711841
2024-04-22,Monday,3213.22,swiggy,9.64,25,high,high,1152.9571428571428,1172.045393954721,1.0165559068832999
2024-04-23,Tuesday,260.93,swiggy,3.0,8,high,high,1190.232857142857,1132.7561028411237,0.9517096558401977
2024-04-24,Wednesday,485.56,swiggy,8.25,17,medium,high,1121.6285714285714,1162.759772730788,1.0366709643013368
2024-04-25,Thursday,932.6,swiggy,5.69,11,medium,high,1191.5614285714285,1129.3890360784837,0.9478227550823933
2024-04-26,Friday,1167.44,swiggy,5.17,13,low,high,1073.2814285714285,1073.127194580223,0.9998562967856336
2024-04-27,Saturday,1861.58,swiggy,12.24,39,medium,high,1339.2214285714285,990.2882477748352,0.739450718639705
2024-04-28,Sunday,2010.82,swiggy,10.58,23,low,high,1418.8785714285714,1022.8764202064132,0.7209048334393754
2024-04-29,Monday,968.82,swiggy,4.99,9,medium,medium,1098.25,650.7597887341643,0.5925424891729245
